Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission,Price
Volkswagen Ameo [2016-2017] Highline 1.5L AT (D),Volkswagen,Ameo,2017,silver,sedan,44611.00,1st,5,diesel,45,1.5L TDI Engine,1498,7-Speed,Automatic,109,250,21.66,BS IV,657000.00
Hyundai i20 Active [2015-2020] 1.2 SX,Hyundai,i20 Active,2016,red,crossover,20305.00,1st,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Manual,82,115,17.19,BS V,682000.00
Honda WR-V VX i-VTEC,Honda,WR-V,2019,white,suv,29540.00,2nd,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110,16.50,BS IV,793000.00
Renault Kwid 1.0 RXT AMT,Renault,Kwid,2017,bronze,hatchback,35680.00,1st,5,petrol,28,1.0L,999,5-Speed,Manual,67,91,21.70,BS IV,414000.00
Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT,Hyundai,Grand i10,2017,orange,hatchback,25126.00,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.90,BS V,515000.00
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2016,red,hatchback,52261.00,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.60,BS IV,604000.00
Honda Brio [2011-2016] V MT,Honda,Brio,2012,grey,hatchback,28108.00,2nd,5,petrol,35,4 cylinder inline petrol,1198,5-Speed,Manual,86.8,109,19.40,BS III,316000.00
Tata Harrier XZ,Tata,Harrier,2019,grey,suv,92603.00,1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Automatic,138,350,17.00,BS IV,1419000.00
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,Hyundai,Grand i10 Nios,2021,blue,hatchback,16304.00,1st,5,petrol,37,1.2 L Kappa Petrol,1197,5-Speed,Manual,81.86,113.75,20.07,BS IV,710000.00
Renault Kwid 1.0 RXT Opt,Renault,Kwid,2019,bronze,hatchback,26350.00,2nd,5,petrol,28,Petrol Engine,999,5-Speed,Manual,67,91,22.00,BS IV,392000.00
Renault Triber RXT,Renault,Triber,2020,yellow,muv,35400.00,1st,7,petrol,40,1.0L Petrol Engine,999,5-Speed,Manual,71,96,20.00,BS IV,613000.00
Chevrolet Cruze [2009-2017] LTZ AT,Chevrolet,Cruze,2013,white,sedan,71450.00,1st,5,diesel,60,VCDi 16V SOHC,1991,6-Speed,Automatic,164,380,17.00,BS IV,598000.00
Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT,Hyundai,Venue,2019,grey,suv,32395.00,1st,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,7-Speed,Automatic,118.35,171.6,18.15,BS V,969000.00
